meanR,meanG,meanB,stdR,stdG,stdB,skewR,skewG,skewB,kurtR,kurtG,kurtB,kelas
178.9302655,178.3057637,180.1199777,82.28679826,82.85053793,82.19004828,-0.348409837,-0.348081215,-0.406770138,-1.607552755,-1.596089628,-1.523548692,nike
236.8073382,235.2035834,235.5683793,38.18803038,42.80432557,42.05628389,-1.898763691,-2.186016078,-2.157372947,2.461920281,4.370511409,4.058619598,nike
198.4104751,198.7006138,197.665059,90.64964411,89.80175035,91.16555371,-1.115783846,-1.096248572,-1.051874321,-0.606898979,-0.653764901,-0.795197539,nike
199.7866709,178.4964724,172.0935906,26.28324415,25.36996319,32.71613111,-2.316662513,-1.035578852,-1.555102823,10.75764239,4.377248084,3.480655169,nike
137.7702687,154.0734016,180.5473932,102.6355761,86.60761559,66.4775485,-0.078222378,-0.113047626,-0.465548586,-1.868422205,-1.759654641,-1.238678007,nike
117.555684,105.7122529,85.89835778,60.69519993,53.20382386,57.20207932,0.636944463,0.992232335,1.36588223,-0.365303143,0.397641883,0.998440286,nike
143.859375,141.0495655,111.7286551,64.32694204,68.01855388,57.76363811,-0.60260796,-0.392353421,-0.237248689,-0.62448501,-0.729381353,-0.766377992,nike
190.0015147,191.2767658,173.2032047,59.14129218,58.90124562,71.00966337,-2.007039978,-1.961467789,-1.014084655,2.748889621,2.60241969,-0.491742701,nike
136.3619061,87.95685188,55.19646843,51.06507655,41.86952056,32.31664428,-0.31036427,0.378972501,0.881941111,-0.40187034,-0.00071952,0.834493578,nike
156.9931242,164.3768535,170.9134048,82.42711185,75.29697966,64.82814906,-0.716877247,-0.812717362,-1.176495895,-1.187638615,-0.880053095,0.168408863,nike
92.20021524,136.427834,185.4799705,53.49102348,40.73277078,33.82261353,1.276551982,0.676170243,-1.784741164,0.503669442,0.195427641,4.941880996,nike
83.27435427,33.75837054,50.04456314,91.00238008,41.41688867,47.66360293,0.862370027,2.194241842,1.342285052,-0.839348828,5.374073024,1.403024133,nike
123.6779735,126.6853276,136.2565768,51.65108437,54.73736987,58.66729463,-0.068987807,0.003739518,-0.026159706,-0.97674819,-1.138518232,-1.286076692,nike
204.7885244,206.678133,209.7588289,76.44392878,73.88137887,71.04788294,-1.670222972,-1.691304006,-1.772584649,1.513372339,1.611552665,1.878593811,nike
162.45454,160.5835061,163.5853197,52.92429379,56.07991187,57.27615326,-0.398672424,-0.403809872,-0.272294303,-0.603811985,-0.747122798,-0.985355476,nike
157.4353675,141.3455835,142.5788823,99.0666858,109.1494242,108.1611281,-0.220137436,0.000634382,-0.004195912,-1.736068383,-1.918323011,-1.917236782,nike
133.9043168,132.1149155,134.2454759,60.84359156,59.48505466,59.09666864,-0.169334555,-0.002620339,0.140470487,-0.834602573,-0.867763911,-0.860070281,nike
168.2523517,139.4588449,129.848593,52.0703731,48.46678407,43.41957051,-1.544106303,-0.858096297,-0.688198557,1.604060476,-0.011705069,-0.646089159,nike
171.1205556,173.2652264,176.5551857,96.64328503,94.38679334,90.91679111,-0.504140392,-0.518473519,-0.536180614,-1.507794068,-1.479688508,-1.444885723,nike
200.6561902,202.8110451,203.3360969,88.02098588,86.43805469,86.02288894,-1.147380202,-1.215220467,-1.233352266,-0.523927765,-0.345100566,-0.29250168,nike
217.2249681,215.4791534,215.765904,65.78171318,68.17112775,67.73389187,-2.164639323,-2.056855105,-2.068183328,2.990302247,2.495895179,2.542341468,nike
227.489776,228.891482,231.6937779,42.2247716,39.47919637,34.24713752,-2.392188484,-2.559750789,-3.011573867,4.974980732,6.277659756,10.03378787,nike
88.94258211,93.1312779,93.46008052,61.52505329,65.17183647,68.24272909,0.548369907,0.683183751,0.903956689,-0.586132104,-0.368973914,-0.169491076,nike
